"Timestamp","Total score","What grade are you in?","What grade are you in? [Score]","What grade are you in? [Feedback]","Did you ever get hacked?","Did you ever get hacked? [Score]","Did you ever get hacked? [Feedback]","Has your password ever gotten leaked in a data leak? Example below.
","Has your password ever gotten leaked in a data leak? Example below.
 [Score]","Has your password ever gotten leaked in a data leak? Example below.
 [Feedback]","What makes you feel a password is “secure enough”? ","What makes you feel a password is “secure enough”?  [Score]","What makes you feel a password is “secure enough”?  [Feedback]","Do you reuse passwords for multiple accounts? ","Do you reuse passwords for multiple accounts?  [Score]","Do you reuse passwords for multiple accounts?  [Feedback]","If you reuse the same password, Is your password short/easy or long/complex?","If you reuse the same password, Is your password short/easy or long/complex? [Score]","If you reuse the same password, Is your password short/easy or long/complex? [Feedback]","If you answered the previous question, please explain why (optional!)","If you answered the previous question, please explain why (optional!) [Score]","If you answered the previous question, please explain why (optional!) [Feedback]","Have you ever used an automatically generated/recommended password?","Have you ever used an automatically generated/recommended password? [Score]","Have you ever used an automatically generated/recommended password? [Feedback]","Did you enjoy this questionnaire","Did you enjoy this questionnaire [Score]","Did you enjoy this questionnaire [Feedback]"
"2026/02/05 11:06:47 AM EST","0.00 / 999999","Senior (12th)","-- / 0","","Yes, I lost the account","-- / 0","","No","-- / 0","","Something unpredictable ","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","It helps me remember while keeping it complex ","-- / 0","","No","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/05 11:08:42 AM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","Yes, but I got the account back","-- / 0","","Not Sure","-- / 0","","it's of a personal thing that only I would know","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","Im too lazy to think of another password and I wouldn't remember them all","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 11:15:39 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","No","-- / 0","","No","-- / 0","","It has to be complex and have symbols","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 11:15:39 AM EST","0.00 / 999999","Senior (12th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","It has weird symbols","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/05 11:17:26 AM EST","0.00 / 999999","Senior (12th)","-- / 0","","Yes, but I got the account back","-- / 0","","Yes","-- / 0","","My password is secure enough bc it's 10 letters, 5 numbers, 3 symbols, and 4 upper case letters","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","Bc I was told to :)","-- / 0","","Yes","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/05 11:19:42 AM EST","999999.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","make sure it's a niche reference that nobody gets. extra points if it's a shared account and you make it ""(X person you're sharing the account) ############## AND DESERVES TO DIE 676942061XDXD""","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","easier on me, but i started to use different password!","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 11:24:26 AM EST","999999.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","If the password is complex but still something I can remember.","-- / 0","","No","-- / 0","","I don't reuse the same password","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 11:43:10 AM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","Yes, but I got the account back","-- / 0","","Yes","-- / 0","","yeah","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","It gots symbols uppercade and number!","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 11:43:36 AM EST","999999.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","No","-- / 0","","When it’s something personal to me that no one would be able to guess","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 11:46:14 AM EST","0.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","Numbers, capital letters, symbols","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","It's the only thing I can remember","-- / 0","","No","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/05 11:49:45 AM EST","999999.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","No","-- / 0","","A mix of numbers, letters, capitals","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 11:52:34 AM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","When it’s a password that can’t be easily guessed ","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","I feel like if your password is safe and unknown then it doesn’t matter how many accounts you have but it becomes a problem if the hacker figures it out","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 11:55:22 AM EST","999999.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","Hard to guess, long, special characters","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","Idk, I just use whatever comes to mind","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 12:09:02 PM EST","0.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","when it has a bunch of symbols in it ","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/05 12:25:02 PM EST","999999.00 / 999999","Adult (graduated)","-- / 0","","No","-- / 0","","No","-- / 0","","Combination of letters, numbers, and symbols; not easily guessed so no personal info (ie. birthdates)","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","My memory! lol","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 12:31:19 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","When it has random words and symbols that would only make sense to me. ","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","I used two different passwords, depends on the website.","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 1:34:54 PM EST","999999.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","Honestly, a password that's easy memorized but long (about 20 characters) with numbers and symbols used with upper/lowercase letters.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 6:18:10 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","When it is something you can remember but is something that is long, has lots of different symbols (letters, numbers, special characters), and isn't something someone could guess just by knowing you.","-- / 0","","Yes","-- / 0","","Both on different websites","-- / 0","","If I have a password for an account that I don't really care about and is just used for like a free online game it is short and easy but if it is for something like school it is longer and more difficult.","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 8:36:01 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","Yes, but I got the account back","-- / 0","","Yes","-- / 0","","It never really will be secure enough in my opinion. But long unique passwords help make them a bit more secure","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 9:42:20 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","No","-- / 0","","No","-- / 0","","When It's very long","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","I cycle between passwords for different accounts, but my main email where they are all connected is unique and the longest.","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 9:43:24 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","No","-- / 0","","No","-- / 0","","The password is more than 14 characters and is memorable enough for me.","-- / 0","","No","-- / 0","","I don't reuse the same password","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 10:20:41 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","Yes, but I got the account back","-- / 0","","Yes","-- / 0","","For me a password is secure enough if I will remember it instantly.","-- / 0","","Yes","-- / 0","","Both on different websites","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 11:07:47 AM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","Don't have your first or last name in your password, and always include symbols that are hard to guess.","-- / 0","","No","-- / 0","","I don't reuse the same password","-- / 0","","If you reuse the same password for everything, it's makes it easier for hackers to access your details.","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 11:09:13 AM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","I use the same one for every site so i dont feel it.","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","Because it;s easy to remember and i dont want to search thru many files to find the one for a specific website","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 11:09:27 AM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","when I remember ","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","idk I suck at remembering things","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 11:09:54 AM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","A password that makes me feel more secure is a long password with multiple different types of characters besides letters. I also keep my password personal to me by including words or things I like.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","Since I have longer passwords, I reuse them to avoid forgetting them but keep them complicated to be more secure.","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 11:11:29 AM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","Yes, I lost the account","-- / 0","","No","-- / 0","","nothing","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","so i dont remember ","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 11:19:54 AM EST","0.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","Don't use your birthday or something super easy to guess.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","I use the same password for everything and it is my elementary school computer password which was a bunch of random letters and numbers.","-- / 0","","Yes","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/06 11:21:38 AM EST","0.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","When it makes no sense. ","-- / 0","","No","-- / 0","","I don't reuse the same password","-- / 0","","I don't think it's smart to reuse your passwords. ","-- / 0","","Yes","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/06 11:22:30 AM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","A ""secure enough"" password has multiple upper and lowercase letters and often a number I find signifigant. I make sure the password is not short either. ","-- / 0","","No","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 11:26:24 AM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","I guess they can be better but sometimes I forget my passwords.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 11:33:47 AM EST","0.00 / 999999","Adult (graduated)","-- / 0","","Yes, but I got the account back","-- / 0","","Yes","-- / 0","","Different and constantly changing with letters (upper and lowercase, numbers, and symbols, but It is hard to do and remember)","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","security and restrictions by the site.","-- / 0","","Yes","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/06 11:45:20 AM EST","0.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","No","-- / 0","","It has a capital letter, numbers, symbols, and is >= 10 characters long","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/06 1:21:54 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","Yes, but I got the account back","-- / 0","","No","-- / 0","","If the password contains ate least 8 characters, 2 uppercase, 2 numbers, 2 lowercase letters, and two special characters like, AT^13&op","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","Because I have a  good memory of long things","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 1:22:04 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","No","-- / 0","","If I can go at least a month without getting an alert of a data leak, I think the password is secure enough.","-- / 0","","No","-- / 0","","I don't reuse the same password","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 1:23:59 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","Yes, but I got the account back","-- / 0","","Yes","-- / 0","","If it has complex characters (Example: !)","-- / 0","","Yes","-- / 0","","I don't reuse the same password","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 1:25:19 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","Being long and alphanumeric","-- / 0","","Yes","-- / 0","","Both on different websites","-- / 0","","Some things people wouldn't bother hacking","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 1:25:54 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","No","-- / 0","","The ai says it is a secure password.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 1:26:41 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","Yes, but I got the account back","-- / 0","","Not Sure","-- / 0","","When it's something so random that only I would know","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 1:26:42 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","No","-- / 0","","Making it something that only I would know about myself","-- / 0","","No","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","So it's harder for people to guess","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 1:27:32 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","When its very randon and that no one will think of.","-- / 0","","Yes","-- / 0","","Both on different websites","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 1:28:12 PM EST","0.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","Long password with lots of different words and symbols","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","Its easy for me to remember but its also very good at not being hackable","-- / 0","","No","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/06 1:28:40 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","Yes, but I got the account back","-- / 0","","No","-- / 0","","Numbers capital and lowercase also symbols","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","easy to remember and aware its more likely to be hacked","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 1:30:50 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","Upper case and lower case letters, numbers, special characters. ","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","It's easier to remember but it still feels secure enough as a password. ","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 1:30:52 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","No","-- / 0","","Diversity with letters, numbers, and special characters.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 1:31:01 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","No","-- / 0","","Enough characters, some special characters, and symbols.","-- / 0","","No","-- / 0","","I don't reuse the same password","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 1:31:08 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","Yes, I lost the account","-- / 0","","No","-- / 0","","When the password is related to something only I would know, had capitals, symbols, and numbers.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 1:32:03 PM EST","0.00 / 999999","Freshman(9th)","-- / 0","","Yes, but I got the account back","-- / 0","","Not Sure","-- / 0","","When its a little longer than 8 characters.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/06 1:36:40 PM EST","999999.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","No","-- / 0","","If it is a password only you know and no one would guess","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","I feel the longer and difficult it is the harder a person would guess it.","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/06 1:45:22 PM EST","0.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","if it comes up with a green check mark and tells me its good","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","no comment","-- / 0","","No","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/09 9:10:28 AM EST","999999.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","A password is secure when its length is long, has many different symbols, and contains numbers and letters","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","I use the same password because the accounts are related in some way.","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/09 9:29:12 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","if it has random numbers","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","i care more about remembering it","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/09 10:08:24 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","Ensuring that my data isn't leaked.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","It is familiar to me but is still complex.","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/09 10:17:47 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","when it has no meaning. just random numbers and letters","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","its so random its safe to use across platforms. nobody guessing it","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/09 11:14:29 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","Yes, but I got the account back","-- / 0","","Yes","-- / 0","","Usually just spamming a bunch of letters and numbers or making it ""random"" makes me feel secure.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","I just don't have a password manager so this is easier.","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/09 11:43:24 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","Yes, I lost the account","-- / 0","","Not Sure","-- / 0","","If it will be difficult to hack","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/09 11:54:47 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","Mix of different numbers, symbols and letters.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","Has a mix of letters, numbers and symbols.","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/09 11:56:22 AM EST","0.00 / 999999","Senior (12th)","-- / 0","","No","-- / 0","","No","-- / 0","","hard to guess","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/09 11:57:08 AM EST","0.00 / 999999","Senior (12th)","-- / 0","","No","-- / 0","","No","-- / 0","","It has a mix of capital and lowercase letters, numbers, and punctuation. I don't reuse passwords, but I have a password template I use that varies based on accounts.","-- / 0","","No","-- / 0","","I don't reuse the same password","-- / 0","","","-- / 0","","No","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/09 2:23:47 PM EST","999999.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","No","-- / 0","","If it is complex enough","-- / 0","","No","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/10 2:14:30 PM EST","999999.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","No","-- / 0","","When a password is unique with special characters and non normal.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","Its complex enough to the point where I wont get hacked so I believe that I can trust it to hold my accounts. ","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/11 8:27:48 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","Yes, I lost the account","-- / 0","","Not Sure","-- / 0","","I think it has to do with something only you would know, like things that relate to you that others might not really find easy to find or know. ","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","It's more complex in regards to what I use and what number as I don't want my password to be easy to get. ","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/11 8:58:18 AM EST","0.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","If it has enough characters and special characters.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","I try to set hard to guess passwords that I can easily remember with special characters replacing letters.","-- / 0","","Yes","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/11 9:22:12 AM EST","0.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","No","-- / 0","","when it says it is","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/11 9:42:28 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","No","-- / 0","","No","-- / 0","","When I have to create new passwords for websites says it strong. ","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/11 11:08:24 AM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","Yes, but I got the account back","-- / 0","","Yes","-- / 0","","21!@^#!@(*#^@273610460214","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","It's my cat name","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/11 11:55:19 AM EST","0.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","If its pretty random","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/11 12:04:10 PM EST","999999.00 / 999999","Junior(11th)","-- / 0","","Yes, I lost the account","-- / 0","","Yes","-- / 0","","Obviously I have to remember it so I can't have too many but I feel like if its something relating to you or personal then it should be somewhat secure if its somewhat complex, but still something you can remember.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","For remembering purposes, but I'll probably change some when I got home because I was just thinking about it and I have an idea for a few passwords I could change.","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/11 2:02:46 PM EST","999999.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","if it is hard to guess and it is complex","-- / 0","","No","-- / 0","","I don't reuse the same password","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/11 9:38:59 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","Numbers, special characters, more than 8 characters.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","I reuse my medium length password as it isn't that easy to know and it is something I can remember, as I have bad memory.","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/12 9:59:52 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","No","-- / 0","","No","-- / 0","","When it has really weird letters and numbers that no one would be able to guess","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","I don't think my password is fairly easy, but I think it's short","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
